,Unnamed: 0,ST_NAME,count
11,220,ALABAMA,10
26,249,ALASKA,5
12,71,ARIZONA,9
23,204,ARKANSAS,6
0,123,CALIFORNIA,68
19,268,COLORADO,8
46,61,CONNECTICUT,1
48,278,DELAWARE,1
32,312,DISTRICT OF COLUMBIA,4
3,329,FLORIDA,17
6,108,GEORGIA,14
18,364,HAWAII,8
35,83,IDAHO,3
16,263,ILLINOIS,8
9,179,INDIANA,10
44,258,IOWA,1
21,374,KANSAS,6
29,80,KENTUCKY,5
30,78,LOUISIANA,5
33,197,MAINE,4
5,282,MARYLAND,14
14,250,MASSACHUSETTS,8
27,223,MICHIGAN,5
37,209,MINNESOTA,3
15,177,MISSISSIPPI,8
17,261,MISSOURI,8
43,239,MONTANA,1
36,389,NEBRASKA,3
34,325,NEVADA,4
25,241,NEW JERSEY,6
28,192,NEW MEXICO,5
7,196,NEW YORK,11
20,400,NORTH CAROLINA,6
41,339,NORTH DAKOTA,2
31,328,OHIO,5
24,193,OKLAHOMA,6
39,277,OREGON,2
8,102,PENNSYLVANIA,11
42,349,PUERTO RICO,2
40,89,RHODE ISLAND,2
10,190,SOUTH CAROLINA,10
47,207,SOUTH DAKOTA,1
22,290,TENNESSEE,6
2,56,TEXAS,26
13,240,UTAH,8
1,55,VIRGINIA,29
4,47,WASHINGTON,16
38,332,WISCONSIN,3
45,292,WYOMING,1
