Year	Secs	Minutes	Hours	Days	NoDuration
1762	0	0	0	0	0
1790	0	0	0	0	0
1830	0	2	0	0	0
1860	0	1	0	0	0
1864	0	0	0	0	0
1865	0	0	0	0	1
1871	0	0	0	0	0
1880	0	0	0	0	0
1896	0	0	0	0	0
1897	0	0	0	0	1
1899	0	0	0	0	0
1900	0	0	0	0	1
1901	0	0	0	0	0
1905	0	0	0	0	0
1906	0	0	0	0	0
1910	0	1	0	0	0
1914	0	0	0	0	1
1916	0	0	0	0	0
1920	0	0	0	0	1
1922	0	0	0	0	1
1925	0	0	0	0	0
1929	0	1	0	0	0
1930	0	0	0	0	1
1931	0	1	0	0	0
1933	0	0	0	0	0
1934	0	0	0	0	0
1935	0	0	0	0	1
1936	0	1	0	0	0
1937	0	0	0	0	0
1938	0	0	0	0	1
1939	0	0	0	0	0
1941	0	0	0	0	0
1942	1	2	0	1	0
1943	0	3	0	0	2
1944	0	1	0	0	0
1945	1	0	0	2	1
1946	1	0	0	0	1
1947	0	6	1	0	3
1948	2	1	0	0	0
1949	1	4	1	0	0
1950	2	7	1	0	2
1951	2	2	0	0	0
1952	2	8	3	0	4
1953	4	4	0	0	1
1954	4	12	0	0	1
1955	3	3	2	0	3
1956	1	8	1	1	1
1957	1	12	2	1	7
1958	3	7	0	1	0
1959	1	7	2	0	2
1960	5	10	3	0	2
1961	1	7	0	2	0
1962	3	8	0	0	2
1963	0	11	3	1	2
1964	2	15	0	0	2
1965	5	21	3	1	5
1966	10	28	5	1	9
1967	5	40	1	0	2
1968	5	33	4	0	1
1969	7	23	1	0	4
1970	7	26	3	0	6
1971	6	18	2	0	0
1972	12	28	5	1	2
1973	6	34	7	0	6
1974	10	41	9	0	4
1975	10	52	6	2	9
1976	13	49	3	3	6
1977	13	44	3	0	9
1978	11	59	3	1	8
1979	11	58	0	1	3
1980	7	34	4	0	6
1981	7	28	2	0	5
1982	1	34	3	1	11
1983	10	24	0	1	4
1984	9	44	3	1	14
1985	7	32	7	0	11
1986	9	32	5	0	10
1987	11	36	5	0	7
1988	8	37	0	0	6
1989	19	39	3	1	4
1990	11	46	6	0	8
1991	17	43	7	1	6
1992	13	38	3	0	9
1993	13	60	2	1	11
1994	24	80	7	0	23
1995	47	83	63	2	291
1996	48	97	15	0	95
1997	130	187	24	2	46
1998	224	260	30	3	57
1999	355	459	45	3	98
2000	298	415	44	2	97
2001	280	494	45	5	155
2002	302	447	50	6	186
2003	336	512	58	7	154
2004	345	607	42	7	177
2005	314	531	45	6	131
2006	290	474	59	8	176
2007	328	505	53	7	144
2008	394	555	50	7	169
2009	261	535	57	10	127
2010	132	302	35	5	78
