"id","order","score","weight","color","label"
"AL",1,76,1,"#211D98","Alabama"
"AK",2,143,1,"#5B6C48","Alaska"
"AZ",3,47,1,"#994A85","Arizona"
"AR",4,643,1,"#72B6D9","Arkansas"
"CA",5,100,1,"#1BFE01","California"
"CO",6,56,1,"#106596","Colorado"
"CT",7,92,1,"#263E77","Connecticut"
"DC",8,622,1,"#A42455","District of Columbia"
"DE",9,144,1,"#AE5E6A","Delaware"
"FL",10,34,1,"#A60C96","Florida"
"GA",11,370,1,"#CA903E","Georgia"
"HI",12,42,1,"#C87471","Hawaii"
"ID",13,74,1,"#B94984","Idaho"
"IL",14,106,1,"#639691","Illinois"
"IN",15,125,1,"#129A06","Indiana"
"IA",16,73,1,"#F90F27","Iowa"
"KS",17,41,1,"#BB06E6","Kansas"
"KY",18,43,1,"#FB6CBA","Kentucky"
"LA",19,711,1,"#2BCE47","Louisiana"
"ME",20,115,1,"#89F78E","Maine"
"MD",21,31,1,"#C2BC60","Maryland"
"MA",22,44,1,"#5D5369","Massachusetts"
"MI",23,63,1,"#3FC1B4","Michigan"
"MN",24,78,1,"#96C0E2","Minnesota"
"MS",25,130,1,"#CDBFE7","Mississippi"
"MO",26,262,1,"#ADDC7C","Missouri"
"MT",27,135,1,"#C8399A","Montana"
"NE",28,30,1,"#9F2CEC","Nebraska"
"NV",29,76,1,"#A64C98","Nevada"
"NH",30,49,1,"#F9744B","New Hampshire"
"NJ",31,44,1,"#5EA30A","New Jersey"
"NM",32,51,1,"#8CC476","New Mexico"
"NY",33,57,1,"#98C0CB","New York"
"NC",34,233,1,"#5D523F","North Carolina"
"ND",35,34,1,"#8BCBC7","North Dakota"
"OH",36,43,1,"#500E63","Ohio"
"OK",37,39,1,"#1B53DE","Oklahoma"
"OR",38,44,1,"#D6E72D","Oregon"
"PA",39,145,1,"#CB6667","Pennsylvania"
"RI",40,34,1,"#656F78","Rhode Island"
"SC",41,127,1,"#0E3DB7","South Carolina"
"SD",42,159,1,"#2B7EEE","South Dakota"
"TN",43,73,1,"#C879BA","Tennessee"
"TX",44,46,1,"#B05A80","Texas"
"UT",45,67,1,"#14E75F","Utah"
"VT",46,70,1,"#F81582","Vermont"
"VA",47,82,1,"#4AEF63","Virginia"
"WA",48,39,1,"#74754C","Washington"
"WV",49,36,1,"#CE8BA3","West Virginia"
"WI",50,58,1,"#6902FE","Wisconsin"
"WY",51,134,1,"#016C7D","Wyoming"
